State,Month,Maker,Vehicle Class,: 3,: 4,: 5,: 6,: 7,: 8,: 9,: 10,: 11,: 12,: 13,: 14,: 15,: 16,: 17,: 18,: 19,: 20,: 21,: 22,: 23,: 24,: 25,: 26,: 27,: 28,: 29,: 30,: 31,: 32,: 33,: 34,: 35,: 36,: 37,: 38,: 39,: 40,: 41,: 42,: 43,: 44,: 45,: 46,: 47,: 48,: 49,: 50,: 51,: 52,: 53,: 54,: 55,: 56,: 57,: 58,: 59,: 60,: 61,: 62,: 63,: 64,: 65,: 66,: 67,: 68,: 69,: 70,: 71,: 72,: 73,: 74,: 75,: 76,: 77,TOTAL
Andaman & Nicobar Island(3),202412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andaman & Nicobar Island(3),202412,,M-Cycle/Scooter,M-Cycle/Scooter-With Side Car,Moped,Motorised Cycle (CC > 25cc),Adapted Vehicle,Three Wheeler (Personal),Motor Car,Fork Lift,Vehicle Fitted With Rig,Vehicle Fitted With Generator,Vehicle Fitted With Compressor,Crane Mounted Vehicle,Agricultural Tractor,Power Tiller,Private Service Vehicle (Individual Use),Camper Van / Trailer (Private Use),Tow Truck,Breakdown Van,Recovery Vehicle,Tower Wagon,Tree Trimming Vehicle,Construction Equipment Vehicle,Omni Bus (Private Use),Road Roller,Excavator (NT),Bulldozer,Harvester,Trailer (Agricultural),Earth Moving Equipment,Trailer For Personal Use,Quadricycle (Private),Armoured/Specialised Vehicle,Motor Caravan,Motor Cycle/Scooter-SideCar(T),Motor Cycle/Scooter-With Trailer,Motor Cycle/Scooter-Used For Hire,e-Rickshaw with Cart (G),e-Rickshaw(P),Luxury Cab,Three Wheeler (Passenger),Three Wheeler (Goods),Goods Carrier,Power Tiller (Commercial),Tractor (Commercial),Mobile Clinic,X-Ray Van,Library Van,Mobile Workshop,Mobile Canteen,Private Service Vehicle,Maxi Cab,Motor Cab,Puller Tractor,Bus,School Bus,Educational Institution Bus,Ambulance,Animal Ambulance,Camper Van / Trailer,Cash Van,Fire Tenders,Snorked Ladders,Auxiliary Trailer,Fire Fighting Vehicle,Articulated Vehicle,Hearses,Omni Bus,Dumper,Excavator (Commercial),Trailer (Commercial),Tractor-Trolley(Commercial),Semi-Trailer (Commercial),Construction Equipment Vehicle (Commercial),Quadricycle (Commercial),Modular Hydraulic Trailer,Vintage Motor Vehicle,
Andaman & Nicobar Island(3),202412,ACTION CONSTRUCTION EQUIPMENT LTD.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Andaman & Nicobar Island(3),202412,ASHOK LEYLAND LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Andaman & Nicobar Island(3),202412,BAJAJ AUTO LTD,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0
Andaman & Nicobar Island(3),202412,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Andaman & Nicobar Island(3),202412,HERO MOTOCORP LTD,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0
Andaman & Nicobar Island(3),202412,HONDA CARS INDIA LTD,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Andaman & Nicobar Island(3),202412,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0
Andaman & Nicobar Island(3),202412,HYUNDAI MOTOR INDIA LTD,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0
